Time,Battery Voltage,Battery Current,Battery Level,GPS_Lat,GPS_Lon,GPS_Alt,CPU Usage,Ground_Speed,Air_Speed,,
34:19.5,24.392,0.15,99,13.0272176,77.5638141,929.57,10.5,0.00392738,0.010000001,3.6588,1190200.744
34:20.5,24.383,0.17,99,13.0272177,77.5638143,929.66,11.9,0.006326212,0.015000001,4.14511,1190200.258
34:21.5,24.385,0.16,99,13.0272177,77.5638145,929.77,12.3,0.004916061,0.014,3.9016,1190200.501
34:22.5,23.171,42.66,99,13.0272179,77.5638149,929.92,11.5,0.071803212,0.051000003,988.47486,1189215.928
34:23.5,23.289,37.09,99,13.0272183,77.5638156,930.92,11.5,0.174418971,0.181000009,863.78901,1189340.614
34:24.5,23.347,33.97,99,13.0272169,77.5638157,932.79,12.4,0.420473069,0.285000026,793.09759,1189411.305
34:25.5,23.379,32.23,99,13.0272148,77.5638156,933.76,11.9,0.102397464,0.202000007,753.50517,1189450.898
34:26.5,23.433,30.08,99,13.0272164,77.563816,934.33,11.8,0.365870565,0.427000016,704.86464,1189499.538
34:27.5,23.528,26.8,99,13.0272179,77.563817,934.49,12.2,0.078116216,0.016000001,630.5504,1189573.852
34:28.5,23.583,24.46,99,13.0272155,77.5638155,934.6,11.8,0.18987976,0.222000018,576.84018,1189627.563
34:29.5,23.465,28.1,99,13.0272199,77.5638109,934.66,11.6,1.440705895,1.237000108,659.3665,1189545.036
34:30.5,23.246,35.1,99,13.0272345,77.5637998,934.48,11.8,2.459313154,2.28000021,815.9346,1189388.468
34:31.5,23.084,40.98,99,13.0272538,77.5637838,934.43,12,2.624013424,2.670000076,945.98232,1189258.42
34:32.5,23.382,30.06,99,13.027265,77.5637722,934.44,12.5,1.365261555,2.07400012,702.86292,1189501.54
34:33.5,23.032,42.26,99,13.0272674,77.5637663,934.39,10.6,0.769599438,0.279000014,973.33232,1189231.07
34:34.6,23.342,31.12,99,13.0272605,77.563773,934.42,10.6,1.530572176,1.129000068,726.40304,1189478
34:35.6,23.365,30.33,99,13.0272567,77.563793,934.44,10.9,2.506913185,1.870000124,708.66045,1189495.742
34:36.6,23.323,31.31,99,13.027256,77.5638146,934.46,13,3.703835487,3.301000118,730.24313,1189474.16
34:37.6,23.319,31.67,99,13.0272557,77.5638467,934.5,11.9,3.307151794,3.26300025,738.51273,1189465.89
34:38.6,23.297,32.14,99,13.0272489,77.563866,934.45,11.6,1.232068419,2.001000166,748.76558,1189455.637
34:39.6,23.277,32.46,99,13.027235,77.5638695,934.56,11.9,1.737089872,1.482000113,755.57142,1189448.831
34:40.6,23.246,33.11,99,13.027219,77.563866,934.55,12.5,2.180910349,2.118000031,769.67506,1189434.728
34:41.6,23.466,25.18,99,13.0271933,77.5638582,934.51,11.5,2.950456858,2.882000208,590.87388,1189613.529
34:42.6,23.423,26.55,99,13.0271746,77.5638512,934.58,12.9,2.190443754,2.321000099,621.88065,1189582.522
34:43.6,23.269,31.41,99,13.0271671,77.5638301,934.62,11.8,2.887891531,2.776000023,730.87929,1189473.523
34:44.6,23.167,35.11,99,13.0271725,77.5637988,934.57,12.7,3.019615173,3.224000216,813.39337,1189391.009
